,video_x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,MOS_x,content,resolution,bitrate,bitrate_mu,AQ,is_AQ_test,level,reference,video_y,MOS_y,DMOS
11,BTFB-01h12m33s_res1080_mu1200_sigma100_rate1213_aqOff.yuv,77,73,41,54,,54,25,85,72,74,82,69,80,53,34,50,42,72,49,71,36,65,47,54,69,75,63,48,32,50,64,67,81,95,54,48,75,60.55555556,BTFB-01h12m33s,1080p,1213,1200,Off,TRUE,1080p_1200,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,15.77777778
12,BTFB-01h12m33s_res1080_mu500_sigma100_rate541_aqOn.yuv,61,39,24,42,25,21,36,60,63,37,72,53,75,40,31,33,6,47,32,56,41,35,63,57,44,29,44,39,28,29,57,35,46,38,32,26,27,41.16216216,BTFB-01h12m33s,1080p,541,500,On,TRUE,1080p_500,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,35.17117117
13,HZLN_res600_mu800_sigma200_rate667_aqOn.yuv,37,55,50,52,26,63,37,66,41,43,54,49,55,43,5,29,22,24,49,61,31,35,43,35,37,49,41,52,46,43,27,38,63,71,67,38,64,44.35135135,HZLN,600p,667,800,On,FALSE,600p_800,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.21621622,17.86486486
15,HZLN_res2160_mu3000_sigma300_rate3623_aqOn.yuv,59,96,62,58,43,74,73,36,81,71,81,,73,63,74,50,63,76,68,57,49,48,88,49,82,51,93,58,83,61,65,66,78,68,60,75,65,66.58333333,HZLN,2160p,3623,3000,On,FALSE,2160p_3000,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.21621622,-4.367117117
16,HZLN_res1080_mu1200_sigma100_rate1339_aqOn.yuv,70,60,62,65,52,60,55,81,56,72,90,81,76,35,42,60,50,67,25,48,38,37,86,42,72,54,54,59,54,49,43,63,86,50,55,55,67,58.67567568,HZLN,1080p,1339,1200,On,FALSE,1080p_1200,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.21621622,3.540540541
17,HZLN_res1080_mu500_sigma100_rate391_aqOn.yuv,50,5,19,27,,19,19,10,23,64,23,13,32,13,22,18,17,22,22,54,17,3,2,38,26,19,21,9,1,10,12,35,25,4,63,7,8,21.44444444,HZLN,1080p,391,500,On,FALSE,1080p_500,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.21621622,40.77177177
18,HZLN_res720_mu1500_sigma300_rate1481_aqOn.yuv,75,65,56,69,,61,37,57,64,71,76,49,72,54,46,49,74,77,53,49,35,49,69,55,91,69,66,50,33,49,60,56,64,71,66,68,35,59.44444444,HZLN,720p,1481,1500,On,FALSE,720p_1500,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.21621622,2.771771772
19,HZLN_res2160_mu11200_sigma300_rate11150_aqOn.yuv,70,78,63,60,,61,62,49,63,56,70,83,76,62,56,47,83,61,77,61,76,56,67,60,72,76,56,60,39,62,80,85,84,75,59,93,70,66.88888889,HZLN,2160p,11150,11200,On,FALSE,2160p_11200,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.21621622,-4.672672673
20,HZLN_res1080_mu5400_sigma300_rate5291_aqOn.yuv,79,62,62,75,47,79,32,84,57,64,69,61,73,51,55,58,65,53,33,49,45,33,97,38,69,54,62,74,81,60,73,57,69,38,61,74,66,61.05405405,HZLN,1080p,5291,5400,On,FALSE,1080p_5400,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.21621622,1.162162162
21,HZLN_res2160_mu1000_sigma100_rate1047_aqOn.yuv,77,35,35,53,,27,5,83,37,63,75,30,62,56,37,42,37,41,25,41,27,26,64,42,48,63,43,44,26,32,42,48,63,60,62,30,44,45.13888889,HZLN,2160p,1047,1000,On,FALSE,2160p_1000,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.21621622,17.07732733
23,Wot_res1080_mu1200_sigma100_rate1082_aqOn.yuv,51,37,23,53,26,51,32,53,39,69,89,45,81,33,24,25,28,44,53,56,26,27,69,36,35,75,46,56,73,43,30,15,52,47,67,56,43,46.16216216,Wot,1080p,1082,1200,On,FALSE,1080p_1200,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.18918919,22.02702703
24,Wot_res2160_mu1000_sigma100_rate1054_aqOn.yuv,52,36,25,46,,24,23,52,56,68,59,,52,36,22,16,34,60,37,44,14,49,39,35,38,32,66,51,43,25,15,40,72,20,34,56,63,40.97142857,Wot,2160p,1054,1000,On,FALSE,2160p_1000,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.18918919,27.21776062
25,Wot_res1080_mu5400_sigma300_rate5456_aqOn.yuv,88,91,71,71,,69,61,50,54,78,63,72,81,65,29,60,55,77,86,76,94,56,100,63,79,76,70,76,55,72,58,59,75,60,59,72,85,69.61111111,Wot,1080p,5456,5400,On,FALSE,1080p_5400,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.18918919,-1.421921922
26,Wot_res1080_mu500_sigma100_rate514_aqOn.yuv,70,38,18,57,,22,30,70,65,57,70,37,61,34,25,17,40,44,28,43,25,42,52,36,54,35,44,41,34,32,11,31,40,57,36,43,38,41.02777778,Wot,1080p,514,500,On,FALSE,1080p_500,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.18918919,27.16141141
27,Wot_res720_mu1500_sigma300_rate1136_aqOn.yuv,70,72,32,58,70,44,33,41,66,76,72,62,66,43,38,48,58,73,50,51,49,37,75,57,48,49,49,62,46,43,33,52,62,47,43,64,53,53.83783784,Wot,720p,1136,1500,On,FALSE,720p_1500,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.18918919,14.35135135
28,Wot_res600_mu800_sigma200_rate956_aqOn.yuv,55,36,41,56,61,63,28,52,53,72,81,63,60,44,32,28,44,50,48,64,44,30,75,54,61,29,67,50,16,39,62,56,87,45,44,50,56,51.24324324,Wot,600p,956,800,On,FALSE,600p_800,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.18918919,16.94594595
29,Wot_res2160_mu11200_sigma300_rate11338_aqOn.yuv,84,75,45,62,,86,58,68,61,82,96,59,76,54,48,71,64,84,71,85,94,57,87,63,90,81,81,62,90,64,62,87,78,93,62,81,75,73.22222222,Wot,2160p,11338,11200,On,FALSE,2160p_11200,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.18918919,-5.033033033
30,Wot_res2160_mu3000_sigma300_rate2892_aqOn.yuv,77,49,57,67,63,66,56,45,66,77,72,68,90,49,42,60,71,71,66,65,49,46,79,56,73,72,77,65,79,69,53,61,69,64,67,60,61,64.24324324,Wot,2160p,2892,3000,On,FALSE,2160p_3000,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,68.18918919,3.945945946
31,JKRY-108_res2160_mu1000_sigma100_rate842_aqOn.yuv,70,25,4,20,6,31,11,63,35,15,44,36,32,23,1,10,3,17,1,36,15,4,1,18,33,23,20,24,1,8,18,7,31,12,22,3,2,19.59459459,JKRY-108,2160p,842,1000,On,FALSE,2160p_1000,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.41666667,52.82207207
33,JKRY-108_res1080_mu1200_sigma100_rate1052_aqOn.yuv,50,38,21,51,43,44,27,27,50,59,83,54,57,64,37,57,26,28,24,33,38,30,42,38,54,50,45,43,30,30,39,57,51,63,20,39,42,42.81081081,JKRY-108,1080p,1052,1200,On,FALSE,1080p_1200,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.41666667,29.60585586
34,JKRY-108_res2160_mu11200_sigma300_rate11252_aqOn.yuv,50,53,68,69,,80,55,93,78,76,87,68,82,48,47,54,66,94,77,61,81,74,74,67,76,83,70,76,68,44,69,90,92,90,65,95,98,72.72222222,JKRY-108,2160p,11252,11200,On,FALSE,2160p_11200,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.41666667,-0.305555556
35,JKRY-108_res720_mu1500_sigma300_rate1374_aqOn.yuv,69,48,43,55,,45,32,45,72,83,65,68,76,43,36,42,42,78,61,61,56,30,65,54,66,79,49,49,50,48,55,68,62,64,47,40,87,56.47222222,JKRY-108,720p,1374,1500,On,FALSE,720p_1500,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.41666667,15.94444444
36,JKRY-108_res1080_mu500_sigma100_rate588_aqOn.yuv,50,7,27,29,,20,12,25,48,23,34,35,42,33,3,20,17,15,32,14,36,6,14,23,43,29,23,32,2,19,18,29,28,16,25,7,19,23.75,JKRY-108,1080p,588,500,On,FALSE,1080p_500,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.41666667,48.66666667
37,JKRY-108_res600_mu800_sigma200_rate1036_aqOn.yuv,50,26,42,43,35,44,17,20,68,68,66,73,59,61,35,40,41,37,15,56,39,26,8,60,65,48,55,32,23,57,36,56,49,59,38,27,66,44.32432432,JKRY-108,600p,1036,800,On,FALSE,600p_800,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.41666667,28.09234234
38,JKRY-108_res1080_mu5400_sigma300_rate5128_aqOn.yuv,81,83,74,63,,68,42,77,72,64,89,66,86,50,43,75,70,95,74,62,74,78,67,65,84,73,85,68,86,64,63,82,93,91,62,82,80,73.08333333,JKRY-108,1080p,5128,5400,On,FALSE,1080p_5400,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.41666667,-0.666666667
39,JKRY-108_res2160_mu3000_sigma300_rate2538_aqOn.yuv,74,41,19,69,,36,40,33,60,57,66,48,75,48,60,28,49,81,49,49,38,44,62,59,51,52,48,51,48,44,44,75,78,68,58,44,63,53.02777778,JKRY-108,2160p,2538,3000,On,FALSE,2160p_3000,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.41666667,19.38888889
40,THBY-103_res2160_mu11200_sigma300_rate11198_aqOn.yuv,82,98,65,68,,95,89,34,76,75,90,,91,74,97,60,67,91,94,79,61,87,78,73,75,91,80,80,69,76,84,90,90,90,55,68,87,78.82857143,THBY-103,2160p,11198,11200,On,FALSE,2160p_11200,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.89189189,-0.936679537
41,THBY-103_res1080_mu500_sigma100_rate564_aqOn.yuv,49,26,23,58,18,45,43,45,40,32,64,56,65,46,35,48,21,46,25,31,36,32,26,42,38,32,27,45,37,32,44,37,64,28,27,27,39,38.62162162,THBY-103,1080p,564,500,On,FALSE,1080p_500,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.89189189,39.27027027
42,THBY-103_res2160_mu1000_sigma100_rate922_aqOn.yuv,49,25,19,39,,17,5,33,35,37,20,46,52,37,5,25,21,26,1,31,28,26,37,33,20,24,26,27,9,24,17,29,47,37,26,12,18,26.75,THBY-103,2160p,922,1000,On,FALSE,2160p_1000,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.89189189,51.14189189
43,THBY-103_res600_mu800_sigma200_rate704_aqOn.yuv,58,61,39,71,25,27,40,61,47,70,83,58,66,52,30,50,29,55,29,31,25,43,46,44,47,33,37,38,34,35,43,36,48,62,35,18,82,45.62162162,THBY-103,600p,704,800,On,FALSE,600p_800,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.89189189,32.27027027
45,THBY-103_res2160_mu3000_sigma300_rate3264_aqOn.yuv,87,71,46,68,,77,82,21,76,74,59,76,85,69,69,87,76,82,78,45,80,61,68,63,88,75,80,67,50,68,72,95,83,86,63,70,82,71.63888889,THBY-103,2160p,3264,3000,On,FALSE,2160p_3000,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.89189189,6.253003003
46,THBY-103_res720_mu1500_sigma300_rate1281_aqOn.yuv,77,72,44,73,32,44,28,48,69,63,86,71,73,53,52,63,45,84,34,62,34,47,24,50,61,73,57,34,45,59,54,55,64,55,53,49,81,55.89189189,THBY-103,720p,1281,1500,On,FALSE,720p_1500,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.89189189,22
47,THBY-103_res1080_mu1200_sigma100_rate1054_aqOn.yuv,79,43,32,50,24,38,26,47,35,49,79,52,69,35,31,35,17,53,37,59,28,45,48,40,62,41,43,35,31,36,59,31,63,40,14,46,52,43.35135135,THBY-103,1080p,1054,1200,On,FALSE,1080p_1200,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.89189189,34.54054054
48,THBY-103_res1080_mu5400_sigma300_rate5135_aqOn.yuv,75,73,61,59,,82,81,54,78,76,75,,87,49,83,74,83,81,76,62,89,84,100,60,92,77,67,75,70,75,79,72,85,78,52,55,90,74.54285714,THBY-103,1080p,5135,5400,On,FALSE,1080p_5400,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.89189189,3.349034749
49,HERO-00h01m57s_res2160_mu3000_sigma300_rate3314_aqOn.yuv,83,73,30,80,67,65,53,73,70,76,76,73,92,57,54,71,87,97,80,78,92,68,74,62,79,82,76,65,57,53,77,78,87,89,50,81,62,72.08108108,HERO-00h01m57s,2160p,3314,3000,On,TRUE,2160p_3000,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,5.641141141
50,HERO-00h01m57s_res600_mu800_sigma50_rate780_aqOn.yuv,48,36,19,65,,46,50,16,53,63,84,52,53,38,25,25,21,49,46,40,27,24,68,53,54,35,37,25,40,11,47,62,74,24,28,20,38,41.55555556,HERO-00h01m57s,600p,780,800,On,TRUE,600p_800,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,36.16666667
51,HERO-00h01m57s_res1080_mu500_sigma100_rate440_aqOn.yuv,27,38,41,19,,32,8,10,49,74,84,55,52,38,43,30,12,48,3,35,30,4,12,41,40,42,32,15,20,15,56,33,16,36,37,10,16,32.02777778,HERO-00h01m57s,1080p,440,500,On,TRUE,1080p_500,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,45.69444444
52,HERO-00h01m57s_res2160_mu3000_sigma300_rate3314_aqOff.yuv,49,73,53,56,69,83,64,57,70,43,94,79,84,56,77,68,49,84,76,69,100,62,76,70,82,70,57,74,82,50,70,80,87,82,68,72,71,70.43243243,HERO-00h01m57s,2160p,3314,3000,Off,TRUE,2160p_3000,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,7.28978979
53,HERO-00h01m57s_res2160_mu1000_sigma100_rate1020_aqOn.yuv,66,38,28,70,43,31,34,6,61,69,95,66,76,43,38,51,73,64,71,76,39,49,60,39,53,50,52,49,48,31,43,55,77,62,42,47,53,52.64864865,HERO-00h01m57s,2160p,1020,1000,On,TRUE,2160p_1000,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,25.07357357
54,HERO-00h01m57s_res720_mu1500_sigma100_rate1426_aqOff.yuv,69,38,37,52,,61,23,32,73,71,84,67,40,50,44,65,44,72,38,49,49,49,77,66,56,36,53,71,46,49,57,61,23,68,58,44,64,53.77777778,HERO-00h01m57s,720p,1426,1500,Off,TRUE,720p_1500,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,23.94444444
55,HERO-00h01m57s_res2160_mu11200_sigma300_rate11363_aqOn.yuv,79,90,19,74,74,86,71,43,81,76,85,75,95,49,95,80,85,98,90,78,100,81,84,75,76,80,80,73,92,72,84,81,80,93,68,62,64,77.51351351,HERO-00h01m57s,2160p,11363,11200,On,TRUE,2160p_11200,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,0.208708709
56,HERO-00h01m57s_res1080_mu1200_sigma100_rate1171_aqOff.yuv,66,61,41,42,,52,39,21,56,64,92,60,80,34,27,40,70,77,24,48,22,42,53,51,41,52,56,35,39,21,45,41,59,58,49,27,43,48,HERO-00h01m57s,1080p,1171,1200,Off,TRUE,1080p_1200,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,29.72222222
58,HERO-00h01m57s_res600_mu800_sigma50_rate780_aqOff.yuv,48,59,33,56,27,25,9,28,54,59,75,60,43,36,6,50,44,25,51,60,32,37,47,45,47,41,49,30,25,21,42,50,56,42,36,33,43,41.18918919,HERO-00h01m57s,600p,780,800,Off,TRUE,600p_800,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,36.53303303
59,HERO-00h01m57s_res1080_mu1200_sigma100_rate1171_aqOn.yuv,68,95,41,56,41,62,28,55,34,67,84,54,62,45,29,51,62,74,67,49,22,29,76,52,43,58,44,49,66,35,54,13,67,50,54,26,60,51.94594595,HERO-00h01m57s,1080p,1171,1200,On,TRUE,1080p_1200,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,25.77627628
60,HERO-00h01m57s_res1080_mu5400_sigma300_rate5435_aqOn.yuv,76,74,30,73,79,79,41,79,80,76,69,78,85,66,73,50,65,76,68,78,76,57,83,65,56,69,57,73,48,56,78,57,73,60,61,64,82,67.83783784,HERO-00h01m57s,1080p,5435,5400,On,TRUE,1080p_5400,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,9.884384384
61,HERO-00h01m57s_res720_mu1500_sigma100_rate1426_aqOn.yuv,66,39,41,60,36,60,27,71,75,68,85,52,66,49,44,38,56,74,71,63,40,26,75,50,41,49,62,78,57,37,62,62,30,42,45,50,61,54.27027027,HERO-00h01m57s,720p,1426,1500,On,TRUE,720p_1500,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.72222222,23.45195195
62,BTFB-00h33m50s_res2160_mu1000_sigma100_rate1009_aqOn.yuv,13,49,40,41,12,5,32,39,32,9,46,25,32,33,14,10,25,12,23,30,37,20,31,37,37,11,26,40,19,16,31,26,27,37,42,9,11,26.45945946,BTFB-00h33m50s,2160p,1009,1000,On,TRUE,2160p_1000,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,36.62387387
63,BTFB-00h33m50s_res2160_mu3000_sigma300_rate2862_aqOn.yuv,70,51,61,63,56,75,21,33,67,45,84,59,42,41,47,55,56,75,27,69,74,42,59,68,39,53,55,49,45,57,42,78,73,61,56,82,56,56.37837838,BTFB-00h33m50s,2160p,2862,3000,On,TRUE,2160p_3000,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,6.704954955
64,BTFB-00h33m50s_res720_mu1500_sigma100_rate1544_aqOn.yuv,70,66,40,55,59,60,34,21,61,74,94,54,78,66,40,52,65,35,71,59,60,49,76,61,80,53,71,72,48,65,80,60,65,67,28,74,47,59.72972973,BTFB-00h33m50s,720p,1544,1500,On,TRUE,720p_1500,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.08333333,3.353603604
