,yuv,framenos,fps,w,h,content,ref
80,1080p_9M_football8_upscaled.yuv,456,50.0,1920,1080,football8,4k_ref_football8_upscaled.yuv
81,1080p_9M_football9_upscaled.yuv,506,50.0,1920,1080,football9,4k_ref_football9_upscaled.yuv
82,1080p_9M_Furniture_upscaled.yuv,473,60.0,1920,1080,Furniture,4k_ref_Furniture_upscaled.yuv
83,1080p_9M_golf1_upscaled.yuv,452,50.0,1920,1080,golf1,4k_ref_golf1_upscaled.yuv
84,1080p_9M_golf2_upscaled.yuv,501,50.0,1920,1080,golf2,4k_ref_golf2_upscaled.yuv
85,1080p_9M_Light2_upscaled.yuv,352,59.94005994005994,1920,1080,Light2,4k_ref_Light2_upscaled.yuv
86,1080p_9M_Light3_upscaled.yuv,367,59.94005994005994,1920,1080,Light3,4k_ref_Light3_upscaled.yuv
87,1080p_9M_Light4_upscaled.yuv,385,59.94005994005994,1920,1080,Light4,4k_ref_Light4_upscaled.yuv
88,1080p_9M_NighTraffic_upscaled.yuv,496,60.0,1920,1080,NighTraffic,4k_ref_NighTraffic_upscaled.yuv
89,1080p_9M_OfficeBuilding_upscaled.yuv,525,60.0,1920,1080,OfficeBuilding,4k_ref_OfficeBuilding_upscaled.yuv
90,1080p_9M_Porsche_upscaled.yuv,301,60.0,1920,1080,Porsche,4k_ref_Porsche_upscaled.yuv
91,1080p_9M_Skyscraper_upscaled.yuv,363,60.0,1920,1080,Skyscraper,4k_ref_Skyscraper_upscaled.yuv
92,1080p_9M_UrbanLandmark_upscaled.yuv,568,60.0,1920,1080,UrbanLandmark,4k_ref_UrbanLandmark_upscaled.yuv
93,4k_15M_Bonfire_upscaled.yuv,527,60.0,3840,2160,Bonfire,4k_ref_Bonfire_upscaled.yuv
94,4k_15M_CargoBoat_upscaled.yuv,650,60.0,3840,2160,CargoBoat,4k_ref_CargoBoat_upscaled.yuv
95,4k_15M_CenterPanorama_upscaled.yuv,606,60.0,3840,2160,CenterPanorama,4k_ref_CenterPanorama_upscaled.yuv
96,4k_15M_Chasing1_upscaled.yuv,610,59.94005994005994,3840,2160,Chasing1,4k_ref_Chasing1_upscaled.yuv
97,4k_15M_Chasing3_upscaled.yuv,424,59.94005994005994,3840,2160,Chasing3,4k_ref_Chasing3_upscaled.yuv
98,4k_15M_Chasing4_upscaled.yuv,424,59.94005994005994,3840,2160,Chasing4,4k_ref_Chasing4_upscaled.yuv
99,4k_15M_CourtYard_upscaled.yuv,608,60.0,3840,2160,CourtYard,4k_ref_CourtYard_upscaled.yuv
100,4k_15M_Daylight1_upscaled.yuv,483,59.94005994005994,3840,2160,Daylight1,4k_ref_Daylight1_upscaled.yuv
101,4k_15M_firework_upscaled.yuv,608,60.0,3840,2160,firework,4k_ref_firework_upscaled.yuv
102,4k_15M_Flowers_upscaled.yuv,668,60.0,3840,2160,Flowers,4k_ref_Flowers_upscaled.yuv
103,4k_15M_football10_upscaled.yuv,505,50.0,3840,2160,football10,4k_ref_football10_upscaled.yuv
104,4k_15M_football1_upscaled.yuv,506,50.0,3840,2160,football1,4k_ref_football1_upscaled.yuv
105,4k_15M_football2_upscaled.yuv,506,50.0,3840,2160,football2,4k_ref_football2_upscaled.yuv
106,4k_15M_football3_upscaled.yuv,456,50.0,3840,2160,football3,4k_ref_football3_upscaled.yuv
107,4k_15M_football4_upscaled.yuv,403,50.0,3840,2160,football4,4k_ref_football4_upscaled.yuv
108,4k_15M_football5_upscaled.yuv,506,50.0,3840,2160,football5,4k_ref_football5_upscaled.yuv
109,4k_15M_football6_upscaled.yuv,456,50.0,3840,2160,football6,4k_ref_football6_upscaled.yuv
110,4k_15M_football7_upscaled.yuv,456,50.0,3840,2160,football7,4k_ref_football7_upscaled.yuv
111,4k_15M_football8_upscaled.yuv,456,50.0,3840,2160,football8,4k_ref_football8_upscaled.yuv
112,4k_15M_football9_upscaled.yuv,506,50.0,3840,2160,football9,4k_ref_football9_upscaled.yuv
113,4k_15M_Furniture_upscaled.yuv,473,60.0,3840,2160,Furniture,4k_ref_Furniture_upscaled.yuv
114,4k_15M_golf1_upscaled.yuv,452,50.0,3840,2160,golf1,4k_ref_golf1_upscaled.yuv
115,4k_15M_golf2_upscaled.yuv,501,50.0,3840,2160,golf2,4k_ref_golf2_upscaled.yuv
116,4k_15M_Light2_upscaled.yuv,352,59.94005994005994,3840,2160,Light2,4k_ref_Light2_upscaled.yuv
117,4k_15M_Light3_upscaled.yuv,367,59.94005994005994,3840,2160,Light3,4k_ref_Light3_upscaled.yuv
118,4k_15M_Light4_upscaled.yuv,385,59.94005994005994,3840,2160,Light4,4k_ref_Light4_upscaled.yuv
119,4k_15M_NighTraffic_upscaled.yuv,496,60.0,3840,2160,NighTraffic,4k_ref_NighTraffic_upscaled.yuv
120,4k_15M_OfficeBuilding_upscaled.yuv,525,60.0,3840,2160,OfficeBuilding,4k_ref_OfficeBuilding_upscaled.yuv
121,4k_15M_Porsche_upscaled.yuv,301,60.0,3840,2160,Porsche,4k_ref_Porsche_upscaled.yuv
122,4k_15M_Skyscraper_upscaled.yuv,363,60.0,3840,2160,Skyscraper,4k_ref_Skyscraper_upscaled.yuv
123,4k_15M_UrbanLandmark_upscaled.yuv,568,60.0,3840,2160,UrbanLandmark,4k_ref_UrbanLandmark_upscaled.yuv
124,4k_3M_Bonfire_upscaled.yuv,527,60.0,3840,2160,Bonfire,4k_ref_Bonfire_upscaled.yuv
125,4k_3M_CargoBoat_upscaled.yuv,650,60.0,3840,2160,CargoBoat,4k_ref_CargoBoat_upscaled.yuv
126,4k_3M_CenterPanorama_upscaled.yuv,606,60.0,3840,2160,CenterPanorama,4k_ref_CenterPanorama_upscaled.yuv
127,4k_3M_Chasing1_upscaled.yuv,610,59.94005994005994,3840,2160,Chasing1,4k_ref_Chasing1_upscaled.yuv
128,4k_3M_Chasing3_upscaled.yuv,424,59.94005994005994,3840,2160,Chasing3,4k_ref_Chasing3_upscaled.yuv
129,4k_3M_Chasing4_upscaled.yuv,424,59.94005994005994,3840,2160,Chasing4,4k_ref_Chasing4_upscaled.yuv
130,4k_3M_CourtYard_upscaled.yuv,608,60.0,3840,2160,CourtYard,4k_ref_CourtYard_upscaled.yuv
131,4k_3M_Daylight1_upscaled.yuv,483,59.94005994005994,3840,2160,Daylight1,4k_ref_Daylight1_upscaled.yuv
132,4k_3M_firework_upscaled.yuv,608,60.0,3840,2160,firework,4k_ref_firework_upscaled.yuv
133,4k_3M_Flowers_upscaled.yuv,668,60.0,3840,2160,Flowers,4k_ref_Flowers_upscaled.yuv
134,4k_3M_football10_upscaled.yuv,505,50.0,3840,2160,football10,4k_ref_football10_upscaled.yuv
135,4k_3M_football1_upscaled.yuv,506,50.0,3840,2160,football1,4k_ref_football1_upscaled.yuv
136,4k_3M_football2_upscaled.yuv,506,50.0,3840,2160,football2,4k_ref_football2_upscaled.yuv
137,4k_3M_football3_upscaled.yuv,456,50.0,3840,2160,football3,4k_ref_football3_upscaled.yuv
138,4k_3M_football4_upscaled.yuv,403,50.0,3840,2160,football4,4k_ref_football4_upscaled.yuv
139,4k_3M_football5_upscaled.yuv,506,50.0,3840,2160,football5,4k_ref_football5_upscaled.yuv
140,4k_3M_football6_upscaled.yuv,456,50.0,3840,2160,football6,4k_ref_football6_upscaled.yuv
141,4k_3M_football7_upscaled.yuv,456,50.0,3840,2160,football7,4k_ref_football7_upscaled.yuv
142,4k_3M_football8_upscaled.yuv,456,50.0,3840,2160,football8,4k_ref_football8_upscaled.yuv
143,4k_3M_football9_upscaled.yuv,506,50.0,3840,2160,football9,4k_ref_football9_upscaled.yuv
144,4k_3M_Furniture_upscaled.yuv,473,60.0,3840,2160,Furniture,4k_ref_Furniture_upscaled.yuv
145,4k_3M_golf1_upscaled.yuv,452,50.0,3840,2160,golf1,4k_ref_golf1_upscaled.yuv
146,4k_3M_golf2_upscaled.yuv,501,50.0,3840,2160,golf2,4k_ref_golf2_upscaled.yuv
147,4k_3M_Light2_upscaled.yuv,352,59.94005994005994,3840,2160,Light2,4k_ref_Light2_upscaled.yuv
148,4k_3M_Light3_upscaled.yuv,367,59.94005994005994,3840,2160,Light3,4k_ref_Light3_upscaled.yuv
149,4k_3M_Light4_upscaled.yuv,385,59.94005994005994,3840,2160,Light4,4k_ref_Light4_upscaled.yuv
150,4k_3M_NighTraffic_upscaled.yuv,496,60.0,3840,2160,NighTraffic,4k_ref_NighTraffic_upscaled.yuv
151,4k_3M_OfficeBuilding_upscaled.yuv,525,60.0,3840,2160,OfficeBuilding,4k_ref_OfficeBuilding_upscaled.yuv
152,4k_3M_Porsche_upscaled.yuv,301,60.0,3840,2160,Porsche,4k_ref_Porsche_upscaled.yuv
153,4k_3M_Skyscraper_upscaled.yuv,363,60.0,3840,2160,Skyscraper,4k_ref_Skyscraper_upscaled.yuv
154,4k_3M_UrbanLandmark_upscaled.yuv,568,60.0,3840,2160,UrbanLandmark,4k_ref_UrbanLandmark_upscaled.yuv
155,4k_6M_Bonfire_upscaled.yuv,527,60.0,3840,2160,Bonfire,4k_ref_Bonfire_upscaled.yuv
156,4k_6M_CargoBoat_upscaled.yuv,650,60.0,3840,2160,CargoBoat,4k_ref_CargoBoat_upscaled.yuv
157,4k_6M_CenterPanorama_upscaled.yuv,606,60.0,3840,2160,CenterPanorama,4k_ref_CenterPanorama_upscaled.yuv
158,4k_6M_Chasing1_upscaled.yuv,610,59.94005994005994,3840,2160,Chasing1,4k_ref_Chasing1_upscaled.yuv
159,4k_6M_Chasing3_upscaled.yuv,424,59.94005994005994,3840,2160,Chasing3,4k_ref_Chasing3_upscaled.yuv
160,4k_6M_Chasing4_upscaled.yuv,424,59.94005994005994,3840,2160,Chasing4,4k_ref_Chasing4_upscaled.yuv
161,4k_6M_CourtYard_upscaled.yuv,608,60.0,3840,2160,CourtYard,4k_ref_CourtYard_upscaled.yuv
162,4k_6M_Daylight1_upscaled.yuv,483,59.94005994005994,3840,2160,Daylight1,4k_ref_Daylight1_upscaled.yuv
163,4k_6M_firework_upscaled.yuv,608,60.0,3840,2160,firework,4k_ref_firework_upscaled.yuv
164,4k_6M_Flowers_upscaled.yuv,668,60.0,3840,2160,Flowers,4k_ref_Flowers_upscaled.yuv
165,4k_6M_football10_upscaled.yuv,505,50.0,3840,2160,football10,4k_ref_football10_upscaled.yuv
166,4k_6M_football1_upscaled.yuv,506,50.0,3840,2160,football1,4k_ref_football1_upscaled.yuv
167,4k_6M_football2_upscaled.yuv,506,50.0,3840,2160,football2,4k_ref_football2_upscaled.yuv
168,4k_6M_football3_upscaled.yuv,456,50.0,3840,2160,football3,4k_ref_football3_upscaled.yuv
169,4k_6M_football4_upscaled.yuv,403,50.0,3840,2160,football4,4k_ref_football4_upscaled.yuv
170,4k_6M_football5_upscaled.yuv,506,50.0,3840,2160,football5,4k_ref_football5_upscaled.yuv
171,4k_6M_football6_upscaled.yuv,456,50.0,3840,2160,football6,4k_ref_football6_upscaled.yuv
172,4k_6M_football7_upscaled.yuv,456,50.0,3840,2160,football7,4k_ref_football7_upscaled.yuv
173,4k_6M_football8_upscaled.yuv,456,50.0,3840,2160,football8,4k_ref_football8_upscaled.yuv
174,4k_6M_football9_upscaled.yuv,506,50.0,3840,2160,football9,4k_ref_football9_upscaled.yuv
175,4k_6M_Furniture_upscaled.yuv,473,60.0,3840,2160,Furniture,4k_ref_Furniture_upscaled.yuv
176,4k_6M_golf1_upscaled.yuv,452,50.0,3840,2160,golf1,4k_ref_golf1_upscaled.yuv
177,4k_6M_golf2_upscaled.yuv,501,50.0,3840,2160,golf2,4k_ref_golf2_upscaled.yuv
178,4k_6M_Light2_upscaled.yuv,352,59.94005994005994,3840,2160,Light2,4k_ref_Light2_upscaled.yuv
179,4k_6M_Light3_upscaled.yuv,367,59.94005994005994,3840,2160,Light3,4k_ref_Light3_upscaled.yuv
180,4k_6M_Light4_upscaled.yuv,385,59.94005994005994,3840,2160,Light4,4k_ref_Light4_upscaled.yuv
181,4k_6M_NighTraffic_upscaled.yuv,496,60.0,3840,2160,NighTraffic,4k_ref_NighTraffic_upscaled.yuv
182,4k_6M_OfficeBuilding_upscaled.yuv,525,60.0,3840,2160,OfficeBuilding,4k_ref_OfficeBuilding_upscaled.yuv
183,4k_6M_Porsche_upscaled.yuv,301,60.0,3840,2160,Porsche,4k_ref_Porsche_upscaled.yuv
184,4k_6M_Skyscraper_upscaled.yuv,363,60.0,3840,2160,Skyscraper,4k_ref_Skyscraper_upscaled.yuv
185,4k_6M_UrbanLandmark_upscaled.yuv,568,60.0,3840,2160,UrbanLandmark,4k_ref_UrbanLandmark_upscaled.yuv
186,4k_ref_Bonfire_upscaled.yuv,527,60.0,3840,2160,Bonfire,4k_ref_Bonfire_upscaled.yuv
187,4k_ref_CargoBoat_upscaled.yuv,650,60.0,3840,2160,CargoBoat,4k_ref_CargoBoat_upscaled.yuv
188,4k_ref_CenterPanorama_upscaled.yuv,606,60.0,3840,2160,CenterPanorama,4k_ref_CenterPanorama_upscaled.yuv
189,4k_ref_Chasing1_upscaled.yuv,670,59.94005994005994,3840,2160,Chasing1,4k_ref_Chasing1_upscaled.yuv
190,4k_ref_Chasing3_upscaled.yuv,434,59.94005994005994,3840,2160,Chasing3,4k_ref_Chasing3_upscaled.yuv
191,4k_ref_Chasing4_upscaled.yuv,465,59.94005994005994,3840,2160,Chasing4,4k_ref_Chasing4_upscaled.yuv
192,4k_ref_CourtYard_upscaled.yuv,608,60.0,3840,2160,CourtYard,4k_ref_CourtYard_upscaled.yuv
193,4k_ref_Daylight1_upscaled.yuv,528,59.94005994005994,3840,2160,Daylight1,4k_ref_Daylight1_upscaled.yuv
194,4k_ref_firework_upscaled.yuv,608,60.0,3840,2160,firework,4k_ref_firework_upscaled.yuv
195,4k_ref_Flowers_upscaled.yuv,668,60.0,3840,2160,Flowers,4k_ref_Flowers_upscaled.yuv
196,4k_ref_football10_upscaled.yuv,505,50.0,3840,2160,football10,4k_ref_football10_upscaled.yuv
197,4k_ref_football1_upscaled.yuv,506,50.0,3840,2160,football1,4k_ref_football1_upscaled.yuv
198,4k_ref_football2_upscaled.yuv,506,50.0,3840,2160,football2,4k_ref_football2_upscaled.yuv
199,4k_ref_football3_upscaled.yuv,456,50.0,3840,2160,football3,4k_ref_football3_upscaled.yuv
200,4k_ref_football4_upscaled.yuv,403,50.0,3840,2160,football4,4k_ref_football4_upscaled.yuv
201,4k_ref_football5_upscaled.yuv,506,50.0,3840,2160,football5,4k_ref_football5_upscaled.yuv
202,4k_ref_football6_upscaled.yuv,456,50.0,3840,2160,football6,4k_ref_football6_upscaled.yuv
203,4k_ref_football7_upscaled.yuv,456,50.0,3840,2160,football7,4k_ref_football7_upscaled.yuv
204,4k_ref_football8_upscaled.yuv,456,50.0,3840,2160,football8,4k_ref_football8_upscaled.yuv
205,4k_ref_football9_upscaled.yuv,506,50.0,3840,2160,football9,4k_ref_football9_upscaled.yuv
206,4k_ref_Furniture_upscaled.yuv,473,60.0,3840,2160,Furniture,4k_ref_Furniture_upscaled.yuv
207,4k_ref_golf1_upscaled.yuv,452,50.0,3840,2160,golf1,4k_ref_golf1_upscaled.yuv
208,4k_ref_golf2_upscaled.yuv,501,50.0,3840,2160,golf2,4k_ref_golf2_upscaled.yuv
209,4k_ref_Light2_upscaled.yuv,378,59.94005994005994,3840,2160,Light2,4k_ref_Light2_upscaled.yuv
210,4k_ref_Light3_upscaled.yuv,391,59.94005994005994,3840,2160,Light3,4k_ref_Light3_upscaled.yuv
211,4k_ref_Light4_upscaled.yuv,463,59.94005994005994,3840,2160,Light4,4k_ref_Light4_upscaled.yuv
212,4k_ref_NighTraffic_upscaled.yuv,496,60.0,3840,2160,NighTraffic,4k_ref_NighTraffic_upscaled.yuv
213,4k_ref_OfficeBuilding_upscaled.yuv,525,60.0,3840,2160,OfficeBuilding,4k_ref_OfficeBuilding_upscaled.yuv
214,4k_ref_Porsche_upscaled.yuv,301,60.0,3840,2160,Porsche,4k_ref_Porsche_upscaled.yuv
215,4k_ref_Skyscraper_upscaled.yuv,363,60.0,3840,2160,Skyscraper,4k_ref_Skyscraper_upscaled.yuv
216,4k_ref_UrbanLandmark_upscaled.yuv,568,60.0,3840,2160,UrbanLandmark,4k_ref_UrbanLandmark_upscaled.yuv
217,540p_2.2M_Bonfire_upscaled.yuv,527,60.0,960,540,Bonfire,4k_ref_Bonfire_upscaled.yuv
218,540p_2.2M_CargoBoat_upscaled.yuv,650,60.0,960,540,CargoBoat,4k_ref_CargoBoat_upscaled.yuv
219,540p_2.2M_CenterPanorama_upscaled.yuv,606,60.0,960,540,CenterPanorama,4k_ref_CenterPanorama_upscaled.yuv
220,540p_2.2M_Chasing1_upscaled.yuv,610,59.94005994005994,960,540,Chasing1,4k_ref_Chasing1_upscaled.yuv
221,540p_2.2M_Chasing3_upscaled.yuv,424,59.94005994005994,960,540,Chasing3,4k_ref_Chasing3_upscaled.yuv
222,540p_2.2M_Chasing4_upscaled.yuv,424,59.94005994005994,960,540,Chasing4,4k_ref_Chasing4_upscaled.yuv
223,540p_2.2M_CourtYard_upscaled.yuv,608,60.0,960,540,CourtYard,4k_ref_CourtYard_upscaled.yuv
224,540p_2.2M_Daylight1_upscaled.yuv,483,59.94005994005994,960,540,Daylight1,4k_ref_Daylight1_upscaled.yuv
225,540p_2.2M_firework_upscaled.yuv,608,60.0,960,540,firework,4k_ref_firework_upscaled.yuv
226,540p_2.2M_Flowers_upscaled.yuv,668,60.0,960,540,Flowers,4k_ref_Flowers_upscaled.yuv
227,540p_2.2M_football10_upscaled.yuv,505,50.0,960,540,football10,4k_ref_football10_upscaled.yuv
228,540p_2.2M_football1_upscaled.yuv,506,50.0,960,540,football1,4k_ref_football1_upscaled.yuv
229,540p_2.2M_football2_upscaled.yuv,506,50.0,960,540,football2,4k_ref_football2_upscaled.yuv
230,540p_2.2M_football3_upscaled.yuv,456,50.0,960,540,football3,4k_ref_football3_upscaled.yuv
231,540p_2.2M_football4_upscaled.yuv,403,50.0,960,540,football4,4k_ref_football4_upscaled.yuv
